sample.id,replicate,n,c,other,c.n,plot,warming,soil
TES121,1,0.98,21.847,77.173,22.29285714,1,H,Organic
TES122,1,0.345,5.943,93.712,17.22608696,1,H,Mineral
TES122,2,0.37,7.034,92.596,19.01081081,1,H,Mineral
TES123,1,1.68,41.113,57.207,24.47202381,3,C,Organic
TES123,2,1.568,39.809,58.623,25.38839286,3,C,Organic
TES124,1,0.39,8.667,90.943,22.22307692,3,C,Mineral
TES124,2,0.291,7.148,92.561,24.56357388,3,C,Mineral
TES125,2,0.743,16.846,82.411,22.67294751,6,H,Organic
TES126,1,0.342,7.188,92.47,21.01754386,6,H,Mineral
TES127,1,1.151,31.125,67.724,27.04170287,5,C,Organic
TES128,1,0.359,7.769,91.872,21.64066852,5,C,Mineral
TES129,1,1.038,28.034,70.928,27.00770713,8,H,Organic
TES130,1,0.3,6.281,93.419,20.93666667,8,H,Mineral
TES131,1,1.14,29.059,69.801,25.49035088,9,C,Organic
TES131,2,1.137,29.109,69.754,25.60158311,9,C,Organic
TES132,1,0.452,9.906,89.642,21.9159292,9,C,Mineral
TES133,1,1.039,27.899,71.062,26.85178056,12,H,Organic
TES134,1,0.299,7.182,92.519,24.02006689,12,H,Mineral
TES134,2,0.371,8.399,91.23,22.63881402,12,H,Mineral
TES135,1,0.923,22.909,76.168,24.82015168,10,C,Organic
TES135,2,0.934,23.37,75.696,25.02141328,10,C,Organic
TES136,1,0.542,11.209,88.249,20.68081181,10,C,Mineral
TES136,2,0.485,10.662,88.853,21.98350515,10,C,Mineral
TES137,1,1.272,30.457,68.271,23.94418239,15,H,Organic
TES138,1,0.247,5.809,93.944,23.51821862,15,H,Mineral
TES139,1,1.307,34.524,64.169,26.41469013,13,C,Organic
TES140,1,0.308,7.185,92.507,23.32792208,13,C,Mineral
TES141,1,0.976,22.11,76.914,22.65368852,16,H,Organic
TES141,2,1.042,23.899,75.059,22.93570058,16,H,Organic
TES142,1,0.255,5.322,94.423,20.87058824,16,H,Mineral
TES143,1,0.725,15.821,83.454,21.82206897,17,C,Organic
TES144,1,0.358,6.728,92.914,18.79329609,17,C,Mineral
